condition,threshold,genuine_total,false_rejections,FRR_percent,average_genuine_similarity_percent,impostor_total,false_acceptances,FAR_percent,average_impostor_similarity_percent
baseline,0.8,10,1,10,88.96,10,0,0,66.09
baseline,0.85,10,2,20,88.96,10,0,0,66.09
baseline,0.9,10,3,30,88.96,10,0,0,66.09
latency_low,0.8,10,1,10,88.96,10,0,0,66.09
latency_low,0.85,10,2,20,88.96,10,0,0,66.09
latency_low,0.9,10,3,30,88.96,10,0,0,66.09
latency_medium,0.8,10,1,10,88.96,10,0,0,66.09
latency_medium,0.85,10,2,20,88.96,10,0,0,66.09
latency_medium,0.9,10,3,30,88.96,10,0,0,66.09
latency_high,0.8,10,1,10,88.96,10,0,0,66.09
latency_high,0.85,10,2,20,88.96,10,0,0,66.09
latency_high,0.9,10,3,30,88.96,10,0,0,66.09
jitter_low,0.8,10,1,10,88.63,10,0,0,65.99
jitter_low,0.85,10,2,20,88.63,10,0,0,65.99
jitter_low,0.9,10,4,40,88.63,10,0,0,65.99
jitter_medium,0.8,10,0,0,88.16,10,0,0,66.43
jitter_medium,0.85,10,2,20,88.16,10,0,0,66.43
jitter_medium,0.9,10,6,60,88.16,10,0,0,66.43
jitter_high,0.8,10,4,40,79.79,10,0,0,52.08
jitter_high,0.85,10,10,100,79.79,10,0,0,52.08
jitter_high,0.9,10,10,100,79.79,10,0,0,52.08
loss_low,0.8,10,4,40,84.2,10,0,0,65.27
loss_low,0.85,10,4,40,84.2,10,0,0,65.27
loss_low,0.9,10,6,60,84.2,10,0,0,65.27
loss_medium,0.8,10,5,50,66.1,10,0,0,57.92
loss_medium,0.85,10,10,100,66.1,10,0,0,57.92
loss_medium,0.9,10,10,100,66.1,10,0,0,57.92
loss_high,0.8,10,6,60,73.13,10,0,0,49.33
loss_high,0.85,10,10,100,73.13,10,0,0,49.33
loss_high,0.9,10,10,100,73.13,10,0,0,49.33
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sum of FRR_percent,Column Labels,,,,,,,,
Row Labels,0.8,0.85,0.9,(blank),Grand Total,,,,
baseline,10,20,30,,60,,,,
jitter_high,40,100,100,,240,,,,
jitter_low,10,20,40,,70,,,,
jitter_medium,0,20,60,,80,,,,
latency_high,10,20,30,,60,,,,
latency_low,10,20,30,,60,,,,
latency_medium,10,20,30,,60,,,,
loss_high,60,100,100,,260,,,,
loss_low,40,40,60,,140,,,,
loss_medium,50,100,100,,250,,,,
(blank),,,,,,,,,
Grand Total,240,460,580,,1280,,,,
,,,,,,,,,
,,,,,,,,,
Sum of FAR_percent,Column Labels,,,,,,,,
Row Labels,0.8,0.85,0.9,Grand Total,,,,,
baseline,0,0,0,0,,,,,
jitter_high,0,0,0,0,,,,,
jitter_low,0,0,0,0,,,,,
jitter_medium,0,0,0,0,,,,,
latency_high,0,0,0,0,,,,,
latency_low,0,0,0,0,,,,,
latency_medium,0,0,0,0,,,,,
loss_high,0,0,0,0,,,,,
loss_low,0,0,0,0,,,,,
loss_medium,0,0,0,0,,,,,
Grand Total,0,0,0,0,,,,,
,,,,,,,,,
Row Labels,Sum of average_genuine_similarity_percent,Sum of average_impostor_similarity_percent,,,,,,,
baseline,266.88,198.27,,,,,,,
jitter_high,239.37,156.24,,,,,,,
jitter_low,265.89,197.97,,,,,,,
jitter_medium,264.48,199.29,,,,,,,
latency_high,266.88,198.27,,,,,,,
latency_low,266.88,198.27,,,,,,,
latency_medium,266.88,198.27,,,,,,,
loss_high,219.39,147.99,,,,,,,
loss_low,252.6,195.81,,,,,,,
loss_medium,198.3,173.76,,,,,,,
Grand Total,2507.55,1864.14,,,,,,,
